process,step,annotation,iaa,true_label,id
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Let the rice brown,"[2, 1, 1, -1, 1]",0.6,1,1103
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker,1 cm) drill bit,"[0, 1, 1, 1, 1]",0.6,1,1104
Promote Root Growth - Encouraging Growth in Cuttings,Take a 2 to 3 in (51 to 76 mm) cutting from a healthy plant,"[2, 1, 2, 1, 2]",1.0,1,1105
"Cut a Cabbage Into Wedges - Cutting Long, Skinny Cabbage",Know which varieties of cabbage this applies to,"[1, 1, 0, 2, 0]",0.4,1,1106
Polish Chrome Wheels - Cleaning Your Wheels, Dry your wheels off using compressed air or a clean cloth,"[1, 1, 2, 2, 0]",0.6,1,1107
Repair Torn Leather - Filling the Seam in the Tear, Apply additional filler as needed to make the seam flush,"[2, 1, -1, 2, 2]",0.6,1,1108
Manage a Disciplinary Meeting - Calling a Disciplinary Meeting, Give the employee written notice of the meeting,"[1, 2, 2, 1, 2]",1.0,1,1109
Clean Under Laptop Keyboard Keys - Putty,Buy special cleaning putty,"[1, 0, 2, 1, 1]",0.6,1,1110
Download Google Docs - On Desktop, Select Download as,"[-1, 0, 1, 1, 1]",0.4,1,1111
Pick out Your Perfect Cell Phone,first of all as our convenient and our wish first choose best mobile then check it all necessary needs in mobile,"[2.0, 2.0, 2.0, 1.0, 1.0]",1.0,1,1112
Create a Kahoot Game,it/login,"[2, 0, 2, 0, 2]",0.4,1,1113
Pasteurize - Using Direct Heat to Pasteurize,Pour the food or liquid you want to pasteurize into sterilized containers,"[1, 1, 1, 1, 2]",1.0,1,1114
Make a Canoe - Carving Your Dugout Canoe,Purchase a strip canoe kit.,"[2.0, 1.0, 2.0, 1.0, 0.0]",0.6,1,1115
Drink Bombay Sapphire - Making a Gin and Tonic,Fill your balloon glass to rim with large cubed ice.,"[-2.0, -1.0, 1.0, 1.0, 1.0]",0.4,1,1116
Convert MediaWiki to WordPress, Set up 301 URLs redirects from old MediaWiki to WP,"[1, 1, 1, 2, 1]",1.0,1,1117
Make Rainbow Frosting - Skittles Rainbow Frosting, Allow the melted Skittles to cool for about 5 minutes,"[2, -1, 1, 2, 0]",0.4,1,1118
Construct a Raised Planting Bed - Constructing the Frame, Attach the boards to the stakes with nails or screws,"[0, 2, 0, 0, 2]",0.4,0,1119
Accessorize Your Kitchen - Giving Your Kitchen a Theme and Colour Scheme,Make sure your theme and colour scheme are compatible,"[2.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,1120
Play French Darts, Set up the game,"[0, 1, 1, 1, 1]",0.6,1,1121
Clean a Granite Sink - Removing Hard Water Stains, Dampen and put soap on the scrubber,"[-1, 2, 0, 1, 1]",0.4,1,1122
Text a Heart Using Symbols,Create a new message,"[1, 1, 2, 2, 2]",1.0,1,1123
Prepare a Power of Attorney - Preparing a Power of Attorney Document, Note powers that a principal cannot confer,"[2, 2, 1, 1, -1]",0.6,1,1124
Toast Sunflower Seeds - Microwave Toasting, Continue cooking the seeds in 1 minute intervals,"[2, 1, 1, 1, 1]",1.0,1,1125
Use Microsoft Paint in Windows - Adding Text,Select a text color,"[1, 0, 2, 1, -1]",0.4,1,1126
Cook Brazilian Rice - Method One: Traditional Brazilian Rice, Serve hot,"[1, -2, 2, 0, 1]",0.4,1,1127
Sell Crafts Online Easily - Launch Your Website, Tell the story about your crafts to sell crafts online easily,"[2, 2, 2, 1, 2]",1.0,1,1128
Test Biodegradability of Plastic - Examining the Plastic,Mix the compost once a week using your hands,"[1, 1, 1, 2, 1]",1.0,1,1129
Report a Fake Account on Facebook - Using the Mobile App, Tap This is a fake account,"[2, 1, 1, 1, 0]",0.6,1,1130
Report a Fake Account on Facebook - Using the Mobile App, Tap ⋯ (iPhone/iPad) or ⁝ (Android),"[2, 1, 1, 1, -1]",0.6,1,1131
Take Legal Action Against Price Fixing - Litigating Your Case,Take part in discovery,"[1, 2, 2, 1, 0]",0.6,1,1132
Update Your Vehicle Registration - Changing Your Name, Complete a vehicle registration application,"[0, 1, 0, 1, 1]",0.4,1,1133
Test the Heating Element in a Dryer - Examining an Electric Dryer, Test the thermostat to see if itâ€™s giving a proper reading,"[1, 0, 0, 1, 0]",0.4,0,1134
Know when to Use Oil Based Paint Instead of Latex," Painting is much the same process as with latex, but the drying time for alkyd paints is longer, and the need for ventilation is greater","[2, 0, 1, 1, 0]",0.4,1,1135
Diagnose a Yeast Infection at Home - Using a Home Test Kit, Sit on the toilet or squat and spread the folds near your vaginal opening apart,"[2, 1, -1, 1, 2]",0.6,1,1136
Change Your General Preferences on Safari - iOS,Tap the Settings app on your device,"[-1, 2, 1, 2, 1]",0.6,1,1137
Dry Sage - Drying Sage in a Food Dehydrator, Dry the sage alone so that the flavors will not get mixed,"[2, 1, 0, 2, 0]",0.4,1,1138
Sharpen a Swiss Army Knife - Finishing Up, Strop the blade,"[1, -1, 1, -1, 1]",0.4,1,1139
Report International Fraud - Reporting International Scams to EConsumer," Update your complaint, if necessary","[2, 2, 1, 0, 2]",0.6,1,1140
Find Perfect Ice Skates," Once that is done, get some skates","[2, 0, 2, 1, 1]",0.6,1,1141
Report Visa Violations - Reporting a Visa Holder, Submit your tip to ICE,"[2, 1, 1, 0, 1]",0.6,1,1142
Apply for a Utility Patent - Evaluating Your Invention's Patentability, Conduct a prior art search,"[0, 2, 2, 2, 0]",0.4,1,1143
Uninstall Twitch on PC or Mac - Using Mac, Drag and drop the Twitch icon to the Trash bin on the Dock,"[0, 0, 2, 1, 1]",0.4,1,1144
Pressure Wash Vinyl Siding - Spraying on the Cleaning Solution, Start with a low pressure setting,"[1, 2, 1, 1, 0]",0.6,1,1145
Build a Go Kart - Mounting the Engine and Steering Column,Install the engine mount,"[1, 1, 1, 2, 2]",1.0,1,1146
Learn Hypnosis - Mastering a Hypnotic Routine, Reach the person’s unconscious mind with a story,"[0, 1, 1, -1, 0]",0.4,0,1147
Turn On Windows Defender - Turning on Windows Defender, Open Settings ,"[1, 1, 1, 0, 1]",0.6,1,1148
Change Your General Preferences on Safari - iOS," Scroll down and tap ""Safari","[1, 2, 0, 1, 1]",0.6,1,1149
Transfer Nokia Contacts to a Samsung - Syncing Google Contacts, Tap your new Google account,"[1, 0, 0, 2, 0]",0.4,0,1150
Palpate Axillary Lymph Nodes - Performing the Exam,Relax into a comfortable position,"[1, 1, 0, 1, 1]",0.6,1,1151
Stop Hormone Replacement Therapy (HRT) - Stopping Hormones, Use hormones less often if directed to do so by your doctor,"[1, 2, 2, 2, 1]",1.0,1,1152
Set Google Chrome As Your Default Browser - macOS," Click the ""Default web browser"" menu and select Google Chrome","[2, -1, 1, 2, 1]",0.6,1,1153
Send a Message on Omegle on iPhone or iPad, Press the blue arrow to send your message,"[2, 2, 1, 0, 2]",0.6,1,1154
Collect Sperm for Analysis - Ensuring an Accurate Analysis, Avoid interfering with the contents of the container afterwards,"[0, 2, 1, 2, 2]",0.6,1,1155
Cut Tile Backsplash - Cutting Installed Tiles, Make the tile where you wish to cut it,"[-1, 2, 1, 1, -1]",0.4,1,1156
Do a Pour Painting - Finishing Your Painting, Let the painting dry for 2-3 days,"[1, 2, 1, 2, 1]",1.0,1,1157
Write Headings for an Article - Writing Headings for APA Articles, Write a level three heading,"[1, 2, 0, 0, -1]",0.4,0,1158
Improve Sperm Morphology - Using Nutrition," Vitamin C has been shown to promote the overall quality of sperm, including sperm morphology, so make sure that you eat plenty of vitamin C-rich foods every day","[1, -1, 1, 1, -1]",0.4,1,1159
Get an Article Approved in wikiHow's Quality Review,Make sure the topic isn't one we already have,"[0, -1, 1, 1, -1]",0.4,0,1160
Make Rock Cakes - Variations, Add chopped apples and cinnamon for apple cakes,"[1, 0, 1, 1, 0]",0.4,1,1161
Gently Curl Your Hair - Using a Headband, Split your hair into two equal-sized sections,"[1, 1, 2, 1, 1]",1.0,1,1162
Improve Sperm Morphology - Using Nutrition, Get lycopene from 2-3 daily servings of tomatoes and tomato products,"[2, 1, 1, 1, 1]",1.0,1,1163
Gently Curl Your Hair - Using a Headband," Slip a wide, fabric headband over your head","[1, 1, 2, 2, 1]",1.0,1,1164
Fix a Bicep Tear - Resuming Physical Activity, Do flexion stretches by bending your elbow 10 times,"[0, 1, 1, 0, 0]",0.4,0,1165
Blow Dry Curly Hair with a Diffuser - Blowing It Dry, Move on to the next section of hair,"[1, 2, 1, -1, 0]",0.4,1,1166
Turn On Windows Defender - Turning on Windows Defender, Click  Update & Security,"[2, 1, 1, -1, 1]",0.6,1,1167
Promote Root Growth - Encouraging Growth in Cuttings,Check daily for growth,"[2.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 2.0, 1.0, -1.0]",0.6,1,1168
Make Straight Cuts with a Circular Saw - Constructing and Using a Straight Edge, Saw ⁄4 in (1,"[2, 1, 2, 2, 2]",1.0,1,1169
Turn On Windows Defender - Turning on Windows Defender, Click the Windows Security tab,"[2, 1, 2, -1, 0]",0.4,1,1170
Sew in a Lace Closure for Your Hair - Sewing in the Wefts, Continue sewing until you reach the top of your right ear,"[2, -1, 2, 2, 2]",0.6,1,1171
Take Legal Action for Player to Player Violence - Negotiating a Settlement with the Player, Sign a settlement agreement if you reach a resolution,"[1, 1, 2, 1, 1]",1.0,1,1172
Breed Alpacas - Encouraging Reproduction, Place the male and female alpaca in the breeding pen,"[2, 1, 1, 2, 0]",0.6,1,1173
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private,try to make a call to a person that is near you to be sure that the carrier has take care of the request.,"[2.0, 1.0, -1.0, 1.0, 1.0]",0.6,1,1174
Learn Hypnosis - Mastering a Hypnotic Routine, Watch for your subject’s body to relax,"[0, 2, 1, 1, 0]",0.4,1,1175
Flat Iron Hair - Learning the Technique, Move the straightened piece out of the way and unclip a new section of hair,"[1, 0, 0, 1, 1]",0.4,1,1176
Make Non Alcoholic Blue Curacao - Making the Orange Base, Combine the juice and peels,"[1, 2, 2, 1, 1]",1.0,1,1177
Catalogue Your Books with Goodreads - Adding Shelves to Your Virtual Bookshelf, Name the shelf,"[2, 0, 2, 1, 1]",0.6,1,1178
Simulate a Fair Coin Toss With a Biased Coin - Steps, Designate one outcome heads,"[-1, 1, 2, 1, 1]",0.6,1,1179
Clean Brass Handles - Cleaning Brass Plate, Utilize soapy water to clean lacquered brass-plated handles,"[1, 1, 1, 2, 1]",1.0,1,1180
Make a Vacuum Chamber - Making a Lid for a Cooking Pot Pressure Cooker, Make a batch of proto putty from silicone and cornstarch,"[0, 1, 0, 0, 1]",0.4,0,1181
Convert MediaWiki to WordPress," Inform your site visitors about the switching and when finished, start converting your MediaWiki content to WordPress","[1, 1, 1, 2, 1]",1.0,1,1182
Use Excel - Creating Charts, Edit your chart's title,"[0, -1, 2, 1, 1]",0.4,1,1183
Report a Fake Account on Facebook - Using the Mobile App, Tap Submit to Facebook for review,"[2, 1, 1, 2, 0]",0.6,1,1184
Read Google Books, Click Read for free or Preview,"[2, 2, 1, 0, -1]",0.4,1,1185
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings, Tap Update to return to the main screen,"[2, 0, 2, 1, 0]",0.4,1,1186
Start a Yeast Free Diet - Trying a Four to Six Week Diet, Familiarize yourself with the foods that you can eat,"[2, 0, 2, 1, 2]",0.6,1,1187
Make Shrimp Chef Salad with Lime and Cilantro, Soften the ramen noodles and add them to the salad,"[1, 2, 2, 0, 2]",0.6,1,1188
Build a Home Studio for Computer Based Music Recording - Building a Home Studio," Once you've learned the basics, start breaking it down","[0, 1, 1, 2, -1]",0.4,1,1189
Clean Brass Handles - Cleaning Brass Plate, Use ammonia or mild soap on unlacquered brass-plated handles,"[1, 0, 2, 1, 1]",0.6,1,1190
Diagnose a Fistula - Getting a Medical Diagnosis, Consent to imaging tests,"[0, 1, 0, 1, 2]",0.4,1,1191
Know when to Use Oil Based Paint Instead of Latex,Determine the application,"[2, 0, 2, 1, 0]",0.4,1,1192
Glue Fabric to a Hat Frame, Apply another coat of glue to the hat frame,"[2, 1, 2, 2, 2]",1.0,1,1193
Open CSV Files - OpenOffice Calc,” This menu is in the upper left corner and will open a window to browse for files on your computer,"[1, 1, -2, 1, 0]",0.4,1,1194
Clear Your Browser's Cache - Firefox on Desktop, Click Clear Recent History…,"[2, 2, 0, 0, 1]",0.4,1,1195
Make a Temporary Tattoo Last Longer - Preparing Your Skin,"Once the tattoo is applied, spray it with hair spray.","[2.0, 1.0, 1.0, 1.0, 1.0]",1.0,1,1196
Transfer Nokia Contacts to a Samsung - Syncing Google Contacts, Tap Add account,"[1, 0, 0, 2, 0]",0.4,0,1197
Find Fulfilling Work - Finding a Possible Career Path,choose best one as our convenient,"[1.0, -1.0, 1.0, 1.0, 1.0]",0.6,1,1198
Make Rainbow Frosting - Skittles Rainbow Frosting, Spoon the frosting colors onto a piping bag,"[2, 0, 2, 1, 0]",0.4,1,1199
Row on a Rowing Machine - Completing the Movement,Practice  Angle arms,"[-1.0, 1.0, -1.0, 2.0, 2.0]",0.4,1,1200
Use Google Keyword Planner - Using the New Keyword Search,"Click on ""search for new keyword and ad group ideas","[2, 2, 0, 0, 1]",0.4,1,1201
Be Ready and Comfortable Kissing a Guy,hold your boy friend's hand tightly,"[2.0, -1.0, 1.0, -1.0, 1.0]",0.4,1,1202
Gently Curl Your Hair - Using a Headband, Twist the left section onto a tight rope just behind your ear,"[-1, 1, 2, 1, 1]",0.6,1,1203
Make a Balloon Pet - Balloon stress relief pet, Stretch the open end of the balloon a bit,"[2, 2, 1, 0, 1]",0.6,1,1204
Decorate Garden Stones - Organizing Your Project,use cheap brushes,"[1.0, 1.0, -2.0, 1.0, 1.0]",0.6,1,1205
Make Vegetarian Yakisoba," Heat oil, fry ginger about 1 minute, add onion and pepper, fry 2 minutes, add string bean and zucchini, fry about 5 minutes","[2, 2, 1, -1, 1]",0.6,1,1206
Get Rid of Spiders in the House - Verified Pest Control Methods, Apply a residual insecticide,"[1, 1, -1, 1, 1]",0.6,1,1207
Collect Sperm for Analysis - Ensuring an Accurate Analysis, Place the lid on the container and put it in the plastic bag provided,"[2, 2, 1, 2, 2]",1.0,1,1208
Measure Helmet Size - Trying on a Helmet,Shake head side to side to note helmet movement,"[2.0, 2.0, 1.0, 1.0, 1.0]",1.0,1,1209
Construct a Raised Planting Bed - Constructing the Frame, Mark the outlines of the planter where you want to build,"[0, 1, 1, 1, 1]",0.6,1,1210
Learn Cooking by Yourself - Mastering the Basics, Move on to making simple meals more decadent,"[0, 2, 2, 2, 1]",0.6,1,1211
Perform Tracheostomy Care - Suctioning the Tube, Wash your hands thoroughly,"[0, 2, 1, 1, 2]",0.6,1,1212
Preserve a Butterfly - Mounting Your Butterfly, Let the butterfly dry on the board for 2 days before removing the pins around the wings,"[1, 0, 1, 2, 0]",0.4,1,1213
Blow Dry Curly Hair with a Diffuser - Blowing It Dry,Flip your hair upside down,"[2, 2, 1, 1, 0]",0.6,1,1214
Apply for a Job in Canada - Applying and Interviewing, Follow up with the company in 2-3 days,"[1, -1, 1, 1, 1]",0.6,1,1215
Report International Fraud - Reporting International Scams to EConsumer, Complete a complaint,"[2, 1, 2, 0, 2]",0.6,1,1216
Keep a Pet Snail - Making a Habitat, Cover the bottom of the container with 1-2 inches of the substrate of your choice,"[1, 1, 2, 1, 1]",1.0,1,1217
Polish Chrome Wheels - Cleaning Your Wheels,Fill a bucket with warm water and car soap,"[-1, 1, 2, 2, 0]",0.4,1,1218
Create a Fillable PDF - Editing Form Fields, Edit an existing text field,"[2, 0, 1, 2, 2]",0.6,1,1219
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Heat some oil in a large skillet,"[0, 1, 2, -1, 0]",0.4,0,1220
Be Ready and Comfortable Kissing a Guy, The guy should then get the idea and you should both lean in and make the kiss natural,"[1, 1, 0, 0, -1]",0.4,0,1221
Cut Zucchini - Dicing, Turn the zucchini and cut crosswise to make cubes,"[0, 2, 1, 0, 2]",0.4,1,1222
Hide Toolbars - Hiding Toolbars in Google Chrome, Remove the checkmark next to “Enabled” for each toolbar you want hidden,"[2, 1, 2, -1, 1]",0.6,1,1223
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,com account,"[1, 1, 0, -2, 1]",0.4,1,1224
"Cut a Mat Using a Utility Knife - Planning, Drawing Guide Lines and Cutting the Board to Size"," When you have finished, take the test the piece of mat board to be sure it fits into your frame","[1, 1, 2, 2, 0]",0.6,1,1225
Make a Vanilla Cake - Basic Vanilla Cake, Bake the cake,"[0, 1, 1, 0, 1]",0.4,1,1226
Separate Sand and Salt - Carrying Out the Experiment,Remove mixture from heat,"[1.0, 2.0, -2.0, 1.0, 1.0, -2.0, 1.0, 2.0, 1.0, 2.0]",0.6,1,1227
Build a DIY Picture Frame Shelf - Making a Gallery Ledge Shelf, Hang your shelf and display your pictures,"[-2, 1, 1, 0, 1]",0.4,1,1228
Turn Off Voicemail on a Samsung - Changing Call-Forwarding Settings, Tap Forward when busy,"[2, 0, 2, 1, -1]",0.4,1,1229
Buy Postage Online - Purchasing Postage Labels Online with Stamps.com,"Read the ""About"" section on the website.","[-1.0, 0.0, 0.0, 1.0, -1.0]",0.6,0,1230
Uninstall Twitch on PC or Mac - Using Mac, Select Delete Immediately on the right-click menu,"[0, 0, 2, 1, 0]",0.4,0,1231
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," Click on the ""OK"" button and now you can use the pictures or images in your email by just typing that particular character which you have defined for them","[1, 1, 2, 1, 1]",1.0,1,1232
Report Visa Violations - Reporting a Visa Holder,Call the number of the hotline or local ICE office,"[2.0, 1.0, 1.0, 2.0, 1.0]",1.0,1,1233
File a Case in Consumer Court - Resolving Your Case,Attend your admissions hearing,"[2, 2, 1, 0, 2]",0.6,1,1234
Replace Scooter Wheels - Removing the Old Wheels,Flip your scooter over so the wheels face upwards,"[2, 2, 1, 1, -1]",0.6,1,1235
Separate Sand and Salt - Carrying Out the Experiment, Heat the mixture,"[1, 2, 0, 2, -1]",0.4,1,1236
Get a Federal Explosives License - Submitting a Complete Application, Pay the fee,"[2, 1, 1, 2, 1]",1.0,1,1237
Transfer Nokia Contacts to a Samsung - Syncing Google Contacts,Open Settings ,"[1, 1, 0, 2, 0]",0.4,1,1238
Harvest Purslane - Growing Purslane, Manage purslane size with frequent harvesting,"[0, 1, 1, 1, -1]",0.4,1,1239
"Add Colorful Emoticons, Icons and Smiley Faces in Outlook"," Come to the main message section and through the ""Picture"" button present on the top Menu bar, insert an image or logo","[1, 2, 1, 1, 1]",1.0,1,1240
Diagnose a Yeast Infection at Home - Using a Home Test Kit, Insert the swab into your vagina and press it against the vaginal wall for 5 seconds,"[2, 1, 1, 0, 1]",0.6,1,1241
Apply Serum to Your Hair - Using the Right Amount of Serum, Rub the serum in your palms well,"[-1, 2, -2, 2, 1]",0.4,1,1242
Keep a Pet Snail - Making a Habitat,Buy a plastic tank or container for your snail,"[2, 2, 2, -1, 1]",0.6,1,1243
Find a Nursing Home for a Senior - Getting Set up in the Nursing Home, Help the nursing home staff decide on a care plan,"[1, 1, 0, 1, 1]",0.6,1,1244
Make a Vegan Avocado Chocolate Cake, Ice when cooled,"[2, 1, 1, 2, 0]",0.6,1,1245
Paint Patio Furniture - Refinishing Rusty Metal Furniture,Spread a nonslip drop cloth on the ground where you’ll be working,"[1, 0, 1, 1, 0]",0.4,1,1246
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters," Stir everything together, and add some lemon juice, if desired","[-2, 1, 2, 1, 0]",0.4,1,1247
Hack Lanschool - Using LinuxLive USB," After having inserted the flash drive, restart the computer you want to bypass LanSchool on","[2, 2, -1, 1, 1]",0.6,1,1248
Store Avocado - Packaging a Cut Avocado, Brush any exposed surfaces of the fruit with lemon juice,"[1, 1, 1, 2, 1]",1.0,1,1249
Make Non Alcoholic Blue Curacao - Making the Orange Base,Wash the oranges,"[2, 2, 2, 1, 1]",1.0,1,1250
Make Chocolate Babka - Making the Filling,"This chocolate babka is made of a rich brioche dough and a rich, ... Usually, when I want to follow a recipe, I end up making so many ...","[1.0, 1.0, 2.0, 1.0, 1.0]",1.0,1,1251
File for a K1 Visa - Filing Your Petition with USCIS,Download the petition and instructions,"[1, 0, 2, 2, 1]",0.6,1,1252
Grow Birch Trees - Planting the Birch Tree, Place the seedling in the hole and replace the soil,"[2, 1, 2, 2, 1]",1.0,1,1253
Clean Behind Your Ears - Cleaning With a Cotton Swab,Prepare the cotton swab with your cleanser,"[1, 0, 2, 1, 1]",0.6,1,1254
Grow Birch Trees - Planting the Birch Tree," Dig a shallow, wide hole in the ground","[2, 2, 2, 2, 1]",1.0,1,1255
Make Crunchy Cajun Potato Snacks, Carefully place the slices onto a piece of kitchen towel,"[2, 2, 2, 2, 0]",0.6,1,1256
Make Caramel Frosting - Making Classic Caramel Frosting,first decide how to make,"[1.0, 0.0, 2.0, 2.0, 1.0]",0.6,1,1257
Gently Curl Your Hair - Using a Headband,Start with slightly damp hair,"[0, 2, 2, 0, 1]",0.4,1,1258
Clear Your Browser's Cache - Firefox on Desktop," Check the ""Cache"" box","[2, 2, 0, 0, 1]",0.4,1,1259
Clean Under Laptop Keyboard Keys - Putty, Place putty on the keyboard,"[1, -1, 2, 1, 2]",0.6,1,1260
Support the ACLU - Taking Action Online,before that choose relevant action,"[0.0, 1.0, 1.0, 1.0, 1.0]",0.6,1,1261
Password Protect a PDF - Using PDF2Go, Disable PDF permissions,"[-1, 2, 2, 1, 2]",0.6,1,1262
Bake Halibut - Parchment Baked Halibut,Bring long ends of paper together and fold,"[1.0, 1.0, 2.0, 1.0, 0.0]",0.6,1,1263
Make an Outdoor Canopy - Making a Canopy with 4 Poles and a Tarp,"Buy a high-quality tarp with grommets, big enough to cover the desired area","[1, 1, 2, 1, 0]",0.6,1,1264
Make Non Alcoholic Blue Curacao - Making the Orange Base, Steep the orange peels,"[2, 2, 2, 1, 0]",0.6,1,1265
Know when to Use Oil Based Paint Instead of Latex, Purchase the paint,"[1, 0, 1, 1, 0]",0.4,1,1266
Play With Your Hermit Crab - Handling Your Hermit Crab, Supervise your hermit crab while it roams and explores,"[1, 1, 2, -1, 2]",0.6,1,1267
Make an Ender Chest in Minecraft, Obtain a blaze rod,"[1, 1, 2, 2, -1]",0.6,1,1268
Make Chocolate Babka - Making the Filling,"You will need a pan, oven, and heatproof bowl in order to make the filling.","[1.0, 1.0, -1.0, 1.0, 2.0]",0.6,1,1269
Use Instacart on an iPhone or iPad," Use the ""Browse"" tab to find seasonal items and other features that might catch your eye","[0, 2, 1, 0, 0]",0.4,0,1270
Wind a Grandfather Clock - Winding a Chain-Wound Clock,Look for chains hanging next to the weights,"[2, 1, 1, 2, 1]",1.0,1,1271
Make a Candy Wrapper Collage - Fabric collage, Cut and arrange the fabric materials following your design,"[0, -1, 1, 2, 2]",0.4,1,1272
"Make a Plaster Cast of a Footwear Mark, Tyre Impression or Animal Footprint", Store and transport the cast,"[1, 0, 1, -1, 2]",0.4,1,1273
Use Microsoft Paint in Windows - Adding Text, Change the font's size,"[1, 0, 2, -1, 1]",0.4,1,1274
Post Process Smoke Images - Mirroring Your Smoke,"You really will photograph smoke and later, mirror your image to add even more ... and after the session, it was easy to open the door and clear the smoke.","[2.0, 1.0, -1.0, 1.0, 1.0]",0.6,1,1275
Set Up Guitar Pedals - Using an Effects Loop,Tune amp,"[1.0, 1.0, -1.0, 1.0, 1.0]",0.6,1,1276
Repair a Book's Binding - Reattaching Loose Pages, Set the pages back on the spine,"[1, 2, 0, 1, 2]",0.6,1,1277
Use Microsoft Paint in Windows - Adding Text, Add formatting to the text,"[1, 0, 2, 1, 0]",0.4,1,1278
Make a Pumpkin Cake - Vegan Pumpkin Cake, Bake the cake,"[2, 1, 0, 2, 0]",0.4,1,1279
Dry Sage - Drying Sage in a Food Dehydrator,Pre-heat dehydrator with the thermostat set to 95°F to 115°F,"[2.0, 2.0, 1.0, 1.0, 1.0]",1.0,1,1280
Kill English Ivy - Killing Ivy on Trees, Monitor the area for new ivy growth,"[1, 0, 2, 1, 0]",0.4,1,1281
Cook Freekeh - Freekeh Pilaf, Simmer for 15 minutes,"[1, 1, 0, 0, 1]",0.4,1,1282
Contact Max Factor - Contacting via Twitter,"” Write your question, concern, compliment, or review in the message box, and send your message","[1, 1, 2, 0, 1]",0.6,1,1283
Do the 'Pass It On' Trick in Class - Flash mobs,"Whisper to the person closest to you ""At [insert time here] [insert what you want to do here]","[1, 1, -1, 1, 0]",0.4,1,1284
Make Crunchy Cajun Potato Snacks, Add more Cajun,"[2, 2, 2, 2, -1]",0.6,1,1285
Write a Hypothesis for an Essay - Composing the Hypothesis, Be as specific as possible,"[2, 0, 1, 1, 0]",0.4,1,1286
Cook Green Beans - Cooking Green Beans in Other Ways,Sauté green beans for 1 to 2 minutes after steaming them,"[1, 2, 2, 2, -2]",0.6,1,1287
Get an Article Approved in wikiHow's Quality Review,"Make sure clear, relevant images accompany your article.","[1.0, 2.0, 1.0, 2.0, 1.0]",1.0,1,1288
Find Surface Area of a Triangular Prism - Finding the Lateral Area, Multiply the perimeter of one base with the height of the prism,"[2, 2, 0, 2, 0]",0.4,1,1289
Train Puggles - House-Training Your Puggle, Put your puggle on a training schedule,"[1, 2, 2, 2, 1]",1.0,1,1290
Kill English Ivy - Killing Ivy on Trees,Get your equipment ready,"[1, 0, 2, 2, 0]",0.4,1,1291
Open XML - Using a Text Editor,""" Select ""Notepad"" (Windows) or ""TextEdit"" (Mac)","[1, 2, 1, 2, 1]",1.0,1,1292
Diagnose a Fistula - Getting a Medical Diagnosis, Let your doctor perform a physical,"[0, 2, 1, 1, 1]",0.6,1,1293
Calculate Bond Discount Rate - Calculating the Present Value of the Bond's Principal, Calculate the current market interest rate for each payment period,"[1, 1, 1, 2, 1]",1.0,1,1294
Change the Root Password in Linux - With the Current Root Password, Retype the new password and press ↵ Enter,"[-2, 1, 2, -1, 1]",0.4,1,1295
Cite a Syllabus in APA - Integrating an In-Text Citation, End the citation with the page number or numbers,"[0, 0, 2, 1, 1]",0.4,1,1296
Clean Behind Your Ears - Cleaning With a Cotton Swab, Wipe dirt away gently,"[1, 0, 1, 2, 1]",0.6,1,1297
Grow Taro - Growing Shoots on Tubers," Choose healthy-looking, large tubers for planting","[1, 2, 1, 1, 2]",1.0,1,1298
Make Pickles - Simple Pickles, Refrigerate overnight,"[2, 1, 2, 1, 1]",1.0,1,1299
Make Your Mobile Phone Number Appear As a Private Number - Asking Your Carrier To Make Your Number Private, Dial 611 and press the call button,"[-2, 0, 1, 1, 2]",0.4,1,1300
Play French Darts, Pick teams,"[0, 1, 2, 2, 1]",0.6,1,1301
Apply Serum to Your Hair - Using the Right Amount of Serum, Style your hair normally,"[-1, 2, 2, 2, 1]",0.6,1,1302
Blow Dry Layered Hair - Blow Drying Short Layers,"If your hair is several inches above your shoulders (your shortest pieces less than an inch long), section off the hair right above your ears and clip it away","[1, 2, 0, 1, 1]",0.6,1,1303
Stretch the Calf Area of Boots - Stretching Boots with Boot Bands, Pull the zipper up to connect the boot band to your boot,"[1, 0, 1, 2, 2]",0.6,1,1304
Cure Astigmatism - Getting Laser Eye Surgery, Recover after the surgery,"[2, 2, 2, 1, 1]",1.0,1,1305
Make Spring Rolls - Cooking Thai Fresh Rolled, Bring it to the cutting board,"[0, 2, 2, 1, 2]",0.6,1,1306
Make a Paper Hat - Making a Sailor or Alpine Hat, Fold the paper in half widthwise,"[-1, 2, 1, 0, 1]",0.4,1,1307
Stop Hormone Replacement Therapy (HRT) - Stopping Hormones, Continue to be monitored by your doctor,"[2, 2, 2, 1, 1]",1.0,1,1308
Make Vegetable Fritters - Making Gluten Free Vegetable Fritters, Salt and strain the zucchinis,"[-1, 1, 2, -1, 0]",0.4,0,1309
